N_reg_insc, Ensemble,1 - LibÃ©raux exclusifs,2 - Mixtes,3 - SalariÃ©s hospitaliers,4 - Autres salariÃ©s
 Ensemble,332.39,166.63,30.46,95.29,40.01
01 - Guadeloupe,246.99,127.32,16.78,78.22,24.67
02 - Martinique,256.78,119.66,20.29,94.75,22.08
03 - Guyane,205.18,61.14,8.21,99.31,36.52
04 - La Réunion,285.58,170.58,7.91,81.7,25.4
06 - Mayotte,76.18,15.52,1.88,31.51,27.28
11 - Île-de-France,398.44,173.66,40.85,124.18,59.75
24 - Centre –Val de Loire,265.26,139,21.91,76.01,28.34
27 - Bourgogne-Franche-Comté,293.89,134.43,34.72,90.2,34.55
28 - Normandie,282.02,135.45,26.16,90.27,30.13
32 - Hauts de France,290.28,141.72,23.47,91.87,33.22
44 - Grand Est,313.2,154.74,33.21,88.25,37
52 - Pays de la Loire,280.66,146.8,22.56,78.3,33
53 - Bretagne,309.57,155.23,26.36,93.22,34.76
75 - Nouvelle Aquitaine,331.87,182.42,26.99,85.99,36.48
76 - Occitanie,354.68,201.47,27.11,87.2,38.9
84 - Auvergne-Rhône-Alpes,330.65,160.66,32.33,97.84,39.82
93 - Provence-Alpes-Côte d’Azur,407.89,236.89,37.99,92.15,40.85
94 - Corse,295.62,184.72,18.22,65.66,27.02
"Champ :  France entiÃ¨re, Source : ASIP-Sante RPPS - traitements Drees - donnees au 1er janvier 2013La densite est exprimee en nombre de professionnels pour 100 000 habitants. ","","","","",""
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
